Id,FromAddress,ToAddress,Speed,Type,PermitDirection
10201,10006,10019,0,Horizontal,Forward
11301,10045,10046,0,Horizontal,Forward
11302,10046,10047,0,Horizontal,Forward
11303,10047,10048,0,Horizontal,Forward
11401,10015,10048,0,Horizontal,Forward
11501,10013,10015,0,Horizontal,Forward
11601,10013,10014,0,Horizontal,Forward
11602,10014,10074,0,Horizontal,Forward
11701,10012,10013,0,Horizontal,Forward
11801,10011,10012,0,Horizontal,Forward
11901,10007,10011,0,Horizontal,Forward
12401,10006,10007,0,Horizontal,Forward
12601,10007,10018,0,Horizontal,Forward
12701,10018,10056,0,Horizontal,Forward
13401,10048,10049,0,Horizontal,Forward
13501,10045,10049,0,Horizontal,Forward
13601,10049,10050,0,Horizontal,Forward
13701,10016,10050,0,Horizontal,Forward
13801,10012,10016,0,Horizontal,Forward
13901,10015,10016,0,Horizontal,Forward
14001,10016,10017,0,Horizontal,Forward
14101,10017,10018,0,Horizontal,Forward
14201,10018,10019,0,Horizontal,Forward
14301,10011,10017,0,Horizontal,Forward
14501,10017,10054,0,Horizontal,Forward
15501,10050,10054,0,Horizontal,Forward
15601,10054,10056,0,Horizontal,Forward
15701,10022,10056,0,Horizontal,Forward
17001,10012,10075,0,Horizontal,Forward
17101,10011,10076,0,Horizontal,Forward
17201,10007,10077,0,Horizontal,Forward
17301,10006,10078,0,Horizontal,Forward
17401,10074,10079,0,Horizontal,Forward
17501,10075,10080,0,Horizontal,Forward
17601,10076,10081,0,Horizontal,Forward
17701,10077,10082,0,Horizontal,Forward
17801,10078,10083,0,Horizontal,Forward
17901,10079,10085,0,Horizontal,Forward
18001,10079,10080,0,Horizontal,Forward
18201,10080,10081,0,Horizontal,Forward
18301,10081,10086,0,Horizontal,Forward
18401,10081,10082,0,Horizontal,Forward
18501,10082,10083,0,Horizontal,Forward
18601,10083,10087,0,Horizontal,Forward
18701,10084,10089,0,Horizontal,Forward
18801,10084,10085,0,Horizontal,Forward
18901,10085,10090,0,Horizontal,Forward
19001,10085,10086,0,Horizontal,Forward
19101,10086,10091,0,Horizontal,Forward
19201,10086,10087,0,Horizontal,Forward
19301,10087,10092,0,Horizontal,Forward
19401,10087,10088,0,Horizontal,Forward
19501,10088,10094,0,Horizontal,Forward
19601,10089,10095,0,Horizontal,Forward
19701,10089,10090,0,Horizontal,Forward
19801,10090,10091,0,Horizontal,Forward
19901,10091,10092,0,Horizontal,Forward
20001,10092,10093,0,Horizontal,Forward
20101,10093,10094,0,Horizontal,Forward
20201,10093,10096,0,Horizontal,Forward
20301,10094,10098,0,Horizontal,Forward
20401,10096,10097,0,Horizontal,Forward
20501,10097,10098,0,Horizontal,Forward
20601,10074,10075,0,Horizontal,Forward
20701,10075,10076,0,Horizontal,Forward
20801,10076,10077,0,Horizontal,Forward
20901,10077,10078,0,Horizontal,Forward
